Year,week,value,condition,Type
2014,2014-06-22,7,EXCELLENT,5-Year Avg
2014,2014-06-22,6,EXCELLENT,Actual
2014,2014-06-29,11,EXCELLENT,5-Year Avg
2014,2014-06-29,7,EXCELLENT,Actual
2014,2014-07-06,10,EXCELLENT,5-Year Avg
2014,2014-07-06,7,EXCELLENT,Actual
2014,2014-07-13,9,EXCELLENT,5-Year Avg
2014,2014-07-13,6,EXCELLENT,Actual
2014,2014-07-20,9,EXCELLENT,5-Year Avg
2014,2014-07-20,7,EXCELLENT,Actual
2014,2014-07-27,9,EXCELLENT,5-Year Avg
2014,2014-07-27,7,EXCELLENT,Actual
2014,2014-08-03,12,EXCELLENT,5-Year Avg
2014,2014-08-03,9,EXCELLENT,Actual
2014,2014-08-10,13,EXCELLENT,5-Year Avg
2014,2014-08-10,10,EXCELLENT,Actual
2014,2014-08-17,14,EXCELLENT,5-Year Avg
2014,2014-08-17,13,EXCELLENT,Actual
2014,2014-08-24,14,EXCELLENT,5-Year Avg
2014,2014-08-24,13,EXCELLENT,Actual
2014,2014-08-31,13,EXCELLENT,5-Year Avg
2014,2014-08-31,12,EXCELLENT,Actual
2014,2014-09-07,13,EXCELLENT,5-Year Avg
2014,2014-09-07,12,EXCELLENT,Actual
2014,2014-09-14,16,EXCELLENT,5-Year Avg
2014,2014-09-14,11,EXCELLENT,Actual
2014,2014-09-21,15,EXCELLENT,5-Year Avg
2014,2014-09-21,12,EXCELLENT,Actual
2014,2014-09-28,14,EXCELLENT,5-Year Avg
2014,2014-09-28,11,EXCELLENT,Actual
2014,2014-10-05,15,EXCELLENT,5-Year Avg
2014,2014-10-05,10,EXCELLENT,Actual
2014,2014-10-12,15,EXCELLENT,5-Year Avg
2014,2014-10-12,10,EXCELLENT,Actual
2014,2014-10-19,15,EXCELLENT,5-Year Avg
2014,2014-10-19,11,EXCELLENT,Actual
2014,2014-10-26,14,EXCELLENT,5-Year Avg
2014,2014-10-26,11,EXCELLENT,Actual
2014,2014-11-02,13,EXCELLENT,5-Year Avg
2014,2014-11-02,11,EXCELLENT,Actual
2014,2014-11-09,12,EXCELLENT,5-Year Avg
2014,2014-11-09,11,EXCELLENT,Actual
2014,2014-11-16,12,EXCELLENT,Actual
2014,2014-11-23,12,EXCELLENT,Actual
2014,2014-06-22,16,FAIR,5-Year Avg
2014,2014-06-22,23,FAIR,Actual
2014,2014-06-29,26,FAIR,5-Year Avg
2014,2014-06-29,23,FAIR,Actual
2014,2014-07-06,29,FAIR,5-Year Avg
2014,2014-07-06,22,FAIR,Actual
2014,2014-07-13,31,FAIR,5-Year Avg
2014,2014-07-13,21,FAIR,Actual
2014,2014-07-20,29,FAIR,5-Year Avg
2014,2014-07-20,23,FAIR,Actual
2014,2014-07-27,28,FAIR,5-Year Avg
2014,2014-07-27,24,FAIR,Actual
2014,2014-08-03,29,FAIR,5-Year Avg
2014,2014-08-03,22,FAIR,Actual
2014,2014-08-10,29,FAIR,5-Year Avg
2014,2014-08-10,23,FAIR,Actual
2014,2014-08-17,25,FAIR,5-Year Avg
2014,2014-08-17,22,FAIR,Actual
2014,2014-08-24,25,FAIR,5-Year Avg
2014,2014-08-24,20,FAIR,Actual
2014,2014-08-31,25,FAIR,5-Year Avg
2014,2014-08-31,20,FAIR,Actual
2014,2014-09-07,25,FAIR,5-Year Avg
2014,2014-09-07,22,FAIR,Actual
2014,2014-09-14,25,FAIR,5-Year Avg
2014,2014-09-14,20,FAIR,Actual
2014,2014-09-21,25,FAIR,5-Year Avg
2014,2014-09-21,20,FAIR,Actual
2014,2014-09-28,26,FAIR,5-Year Avg
2014,2014-09-28,20,FAIR,Actual
2014,2014-10-05,25,FAIR,5-Year Avg
2014,2014-10-05,21,FAIR,Actual
2014,2014-10-12,24,FAIR,5-Year Avg
2014,2014-10-12,21,FAIR,Actual
2014,2014-10-19,25,FAIR,5-Year Avg
2014,2014-10-19,21,FAIR,Actual
2014,2014-10-26,26,FAIR,5-Year Avg
2014,2014-10-26,22,FAIR,Actual
2014,2014-11-02,26,FAIR,5-Year Avg
2014,2014-11-02,22,FAIR,Actual
2014,2014-11-09,26,FAIR,5-Year Avg
2014,2014-11-09,21,FAIR,Actual
2014,2014-11-16,21,FAIR,Actual
2014,2014-11-23,21,FAIR,Actual
2014,2014-06-22,74,GOOD,5-Year Avg
2014,2014-06-22,70,GOOD,Actual
2014,2014-06-29,54,GOOD,5-Year Avg
2014,2014-06-29,68,GOOD,Actual
2014,2014-07-06,46,GOOD,5-Year Avg
2014,2014-07-06,68,GOOD,Actual
2014,2014-07-13,43,GOOD,5-Year Avg
2014,2014-07-13,68,GOOD,Actual
2014,2014-07-20,42,GOOD,5-Year Avg
2014,2014-07-20,66,GOOD,Actual
2014,2014-07-27,41,GOOD,5-Year Avg
2014,2014-07-27,66,GOOD,Actual
2014,2014-08-03,41,GOOD,5-Year Avg
2014,2014-08-03,65,GOOD,Actual
2014,2014-08-10,44,GOOD,5-Year Avg
2014,2014-08-10,64,GOOD,Actual
2014,2014-08-17,49,GOOD,5-Year Avg
2014,2014-08-17,62,GOOD,Actual
2014,2014-08-24,50,GOOD,5-Year Avg
2014,2014-08-24,64,GOOD,Actual
2014,2014-08-31,51,GOOD,5-Year Avg
2014,2014-08-31,64,GOOD,Actual
2014,2014-09-07,52,GOOD,5-Year Avg
2014,2014-09-07,61,GOOD,Actual
2014,2014-09-14,47,GOOD,5-Year Avg
2014,2014-09-14,63,GOOD,Actual
2014,2014-09-21,46,GOOD,5-Year Avg
2014,2014-09-21,62,GOOD,Actual
2014,2014-09-28,47,GOOD,5-Year Avg
2014,2014-09-28,62,GOOD,Actual
2014,2014-10-05,48,GOOD,5-Year Avg
2014,2014-10-05,62,GOOD,Actual
2014,2014-10-12,49,GOOD,5-Year Avg
2014,2014-10-12,64,GOOD,Actual
2014,2014-10-19,49,GOOD,5-Year Avg
2014,2014-10-19,63,GOOD,Actual
2014,2014-10-26,47,GOOD,5-Year Avg
2014,2014-10-26,62,GOOD,Actual
2014,2014-11-02,49,GOOD,5-Year Avg
2014,2014-11-02,62,GOOD,Actual
2014,2014-11-09,50,GOOD,5-Year Avg
2014,2014-11-09,63,GOOD,Actual
2014,2014-11-16,62,GOOD,Actual
2014,2014-11-23,63,GOOD,Actual
2014,2014-06-22,2,POOR,5-Year Avg
2014,2014-06-22,1,POOR,Actual
2014,2014-06-29,7,POOR,5-Year Avg
2014,2014-06-29,2,POOR,Actual
2014,2014-07-06,11,POOR,5-Year Avg
2014,2014-07-06,3,POOR,Actual
2014,2014-07-13,13,POOR,5-Year Avg
2014,2014-07-13,5,POOR,Actual
2014,2014-07-20,14,POOR,5-Year Avg
2014,2014-07-20,4,POOR,Actual
2014,2014-07-27,15,POOR,5-Year Avg
2014,2014-07-27,3,POOR,Actual
2014,2014-08-03,12,POOR,5-Year Avg
2014,2014-08-03,4,POOR,Actual
2014,2014-08-10,10,POOR,5-Year Avg
2014,2014-08-10,3,POOR,Actual
2014,2014-08-17,9,POOR,5-Year Avg
2014,2014-08-17,3,POOR,Actual
2014,2014-08-24,8,POOR,5-Year Avg
2014,2014-08-24,3,POOR,Actual
2014,2014-08-31,8,POOR,5-Year Avg
2014,2014-08-31,4,POOR,Actual
2014,2014-09-07,7,POOR,5-Year Avg
2014,2014-09-07,5,POOR,Actual
2014,2014-09-14,8,POOR,5-Year Avg
2014,2014-09-14,6,POOR,Actual
2014,2014-09-21,10,POOR,5-Year Avg
2014,2014-09-21,6,POOR,Actual
2014,2014-09-28,9,POOR,5-Year Avg
2014,2014-09-28,6,POOR,Actual
2014,2014-10-05,9,POOR,5-Year Avg
2014,2014-10-05,6,POOR,Actual
2014,2014-10-12,9,POOR,5-Year Avg
2014,2014-10-12,5,POOR,Actual
2014,2014-10-19,8,POOR,5-Year Avg
2014,2014-10-19,5,POOR,Actual
2014,2014-10-26,9,POOR,5-Year Avg
2014,2014-10-26,5,POOR,Actual
2014,2014-11-02,9,POOR,5-Year Avg
2014,2014-11-02,5,POOR,Actual
2014,2014-11-09,9,POOR,5-Year Avg
2014,2014-11-09,5,POOR,Actual
2014,2014-11-16,5,POOR,Actual
2014,2014-11-23,4,POOR,Actual
2014,2014-06-22,1,VERY POOR,5-Year Avg
2014,2014-06-22,0,VERY POOR,Actual
2014,2014-06-29,2,VERY POOR,5-Year Avg
2014,2014-06-29,0,VERY POOR,Actual
2014,2014-07-06,4,VERY POOR,5-Year Avg
2014,2014-07-06,0,VERY POOR,Actual
2014,2014-07-13,4,VERY POOR,5-Year Avg
2014,2014-07-13,0,VERY POOR,Actual
2014,2014-07-20,6,VERY POOR,5-Year Avg
2014,2014-07-20,0,VERY POOR,Actual
2014,2014-07-27,7,VERY POOR,5-Year Avg
2014,2014-07-27,0,VERY POOR,Actual
2014,2014-08-03,6,VERY POOR,5-Year Avg
2014,2014-08-03,0,VERY POOR,Actual
2014,2014-08-10,4,VERY POOR,5-Year Avg
2014,2014-08-10,0,VERY POOR,Actual
2014,2014-08-17,3,VERY POOR,5-Year Avg
2014,2014-08-17,0,VERY POOR,Actual
2014,2014-08-24,3,VERY POOR,5-Year Avg
2014,2014-08-24,0,VERY POOR,Actual
2014,2014-08-31,3,VERY POOR,5-Year Avg
2014,2014-08-31,0,VERY POOR,Actual
2014,2014-09-07,3,VERY POOR,5-Year Avg
2014,2014-09-07,0,VERY POOR,Actual
2014,2014-09-14,4,VERY POOR,5-Year Avg
2014,2014-09-14,0,VERY POOR,Actual
2014,2014-09-21,4,VERY POOR,5-Year Avg
2014,2014-09-21,0,VERY POOR,Actual
2014,2014-09-28,4,VERY POOR,5-Year Avg
2014,2014-09-28,1,VERY POOR,Actual
2014,2014-10-05,3,VERY POOR,5-Year Avg
2014,2014-10-05,1,VERY POOR,Actual
2014,2014-10-12,3,VERY POOR,5-Year Avg
2014,2014-10-12,0,VERY POOR,Actual
2014,2014-10-19,3,VERY POOR,5-Year Avg
2014,2014-10-19,0,VERY POOR,Actual
2014,2014-10-26,4,VERY POOR,5-Year Avg
2014,2014-10-26,0,VERY POOR,Actual
2014,2014-11-02,3,VERY POOR,5-Year Avg
2014,2014-11-02,0,VERY POOR,Actual
2014,2014-11-09,3,VERY POOR,5-Year Avg
2014,2014-11-09,0,VERY POOR,Actual
2014,2014-11-16,0,VERY POOR,Actual
2014,2014-11-23,0,VERY POOR,Actual
2015,2015-06-07,6,EXCELLENT,Actual
2015,2015-06-14,7,EXCELLENT,Actual
2015,2015-06-21,8,EXCELLENT,5-Year Avg
2015,2015-06-21,9,EXCELLENT,Actual
2015,2015-06-28,8,EXCELLENT,5-Year Avg
2015,2015-06-28,10,EXCELLENT,Actual
2015,2015-07-05,9,EXCELLENT,5-Year Avg
2015,2015-07-05,12,EXCELLENT,Actual
2015,2015-07-12,8,EXCELLENT,5-Year Avg
2015,2015-07-12,13,EXCELLENT,Actual
2015,2015-07-19,9,EXCELLENT,5-Year Avg
2015,2015-07-19,13,EXCELLENT,Actual
2015,2015-07-26,8,EXCELLENT,5-Year Avg
2015,2015-07-26,13,EXCELLENT,Actual
2015,2015-08-02,10,EXCELLENT,5-Year Avg
2015,2015-08-02,19,EXCELLENT,Actual
2015,2015-08-09,12,EXCELLENT,5-Year Avg
2015,2015-08-09,18,EXCELLENT,Actual
2015,2015-08-16,13,EXCELLENT,5-Year Avg
2015,2015-08-16,20,EXCELLENT,Actual
2015,2015-08-23,13,EXCELLENT,5-Year Avg
2015,2015-08-23,12,EXCELLENT,Actual
2015,2015-08-30,12,EXCELLENT,5-Year Avg
2015,2015-08-30,8,EXCELLENT,Actual
2015,2015-09-06,12,EXCELLENT,5-Year Avg
2015,2015-09-06,6,EXCELLENT,Actual
2015,2015-09-13,12,EXCELLENT,5-Year Avg
2015,2015-09-13,6,EXCELLENT,Actual
2015,2015-09-20,13,EXCELLENT,5-Year Avg
2015,2015-09-20,6,EXCELLENT,Actual
2015,2015-09-27,11,EXCELLENT,5-Year Avg
2015,2015-09-27,4,EXCELLENT,Actual
2015,2015-10-04,11,EXCELLENT,5-Year Avg
2015,2015-10-04,4,EXCELLENT,Actual
2015,2015-10-11,11,EXCELLENT,5-Year Avg
2015,2015-10-11,5,EXCELLENT,Actual
2015,2015-10-18,12,EXCELLENT,5-Year Avg
2015,2015-10-18,5,EXCELLENT,Actual
2015,2015-10-25,11,EXCELLENT,5-Year Avg
2015,2015-10-25,3,EXCELLENT,Actual
2015,2015-11-01,10,EXCELLENT,5-Year Avg
2015,2015-11-01,3,EXCELLENT,Actual
2015,2015-11-08,10,EXCELLENT,5-Year Avg
2015,2015-11-08,4,EXCELLENT,Actual
2015,2015-06-07,18,FAIR,Actual
2015,2015-06-14,22,FAIR,Actual
2015,2015-06-21,18,FAIR,5-Year Avg
2015,2015-06-21,22,FAIR,Actual
2015,2015-06-28,28,FAIR,5-Year Avg
2015,2015-06-28,23,FAIR,Actual
2015,2015-07-05,29,FAIR,5-Year Avg
2015,2015-07-05,22,FAIR,Actual
2015,2015-07-12,30,FAIR,5-Year Avg
2015,2015-07-12,23,FAIR,Actual
2015,2015-07-19,27,FAIR,5-Year Avg
2015,2015-07-19,24,FAIR,Actual
2015,2015-07-26,27,FAIR,5-Year Avg
2015,2015-07-26,24,FAIR,Actual
2015,2015-08-02,28,FAIR,5-Year Avg
2015,2015-08-02,20,FAIR,Actual
2015,2015-08-09,29,FAIR,5-Year Avg
2015,2015-08-09,20,FAIR,Actual
2015,2015-08-16,25,FAIR,5-Year Avg
2015,2015-08-16,22,FAIR,Actual
2015,2015-08-23,24,FAIR,5-Year Avg
2015,2015-08-23,22,FAIR,Actual
2015,2015-08-30,25,FAIR,5-Year Avg
2015,2015-08-30,27,FAIR,Actual
2015,2015-09-06,25,FAIR,5-Year Avg
2015,2015-09-06,30,FAIR,Actual
2015,2015-09-13,26,FAIR,5-Year Avg
2015,2015-09-13,31,FAIR,Actual
2015,2015-09-20,25,FAIR,5-Year Avg
2015,2015-09-20,31,FAIR,Actual
2015,2015-09-27,27,FAIR,5-Year Avg
2015,2015-09-27,33,FAIR,Actual
2015,2015-10-04,26,FAIR,5-Year Avg
2015,2015-10-04,35,FAIR,Actual
2015,2015-10-11,25,FAIR,5-Year Avg
2015,2015-10-11,35,FAIR,Actual
2015,2015-10-18,26,FAIR,5-Year Avg
2015,2015-10-18,33,FAIR,Actual
2015,2015-10-25,27,FAIR,5-Year Avg
2015,2015-10-25,33,FAIR,Actual
2015,2015-11-01,27,FAIR,5-Year Avg
2015,2015-11-01,33,FAIR,Actual
2015,2015-11-08,26,FAIR,5-Year Avg
2015,2015-11-08,33,FAIR,Actual
2015,2015-06-07,74,GOOD,Actual
2015,2015-06-14,69,GOOD,Actual
2015,2015-06-21,72,GOOD,5-Year Avg
2015,2015-06-21,67,GOOD,Actual
2015,2015-06-28,56,GOOD,5-Year Avg
2015,2015-06-28,65,GOOD,Actual
2015,2015-07-05,47,GOOD,5-Year Avg
2015,2015-07-05,64,GOOD,Actual
2015,2015-07-12,45,GOOD,5-Year Avg
2015,2015-07-12,61,GOOD,Actual
2015,2015-07-19,46,GOOD,5-Year Avg
2015,2015-07-19,60,GOOD,Actual
