Year,CategoryRaw,week,value,short_desc,Type
2014,PCT BLOOMING,2014-07-06,7,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual
2014,PCT BLOOMING,2014-07-13,16,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual
2014,PCT BLOOMING,2014-07-20,23,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual
2014,PCT BLOOMING,2014-07-27,40,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual
2014,PCT BLOOMING,2014-08-03,45,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual
2014,PCT BLOOMING,2014-08-10,55,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual
2014,PCT BLOOMING,2014-08-17,71,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual
2014,PCT BLOOMING,2014-08-24,80,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual
2014,PCT BLOOMING,2014-08-31,82,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual
2014,PCT BLOOMING,2014-09-07,90,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual
2014,PCT BLOOMING,2014-09-14,97,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual
2014,PCT DROPPING LEAVES,2014-08-31,0,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual
2014,PCT DROPPING LEAVES,2014-09-07,4,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual
2014,PCT DROPPING LEAVES,2014-09-14,8,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual
2014,PCT DROPPING LEAVES,2014-09-21,18,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual
2014,PCT DROPPING LEAVES,2014-09-28,39,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual
2014,PCT DROPPING LEAVES,2014-10-05,46,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual
2014,PCT DROPPING LEAVES,2014-10-12,65,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual
2014,PCT DROPPING LEAVES,2014-10-19,83,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual
2014,PCT DROPPING LEAVES,2014-10-26,93,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual
2014,PCT DROPPING LEAVES,2014-11-02,95,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual
2014,PCT DROPPING LEAVES,2014-11-09,98,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual
2014,PCT EMERGED,2014-06-08,36,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual
2014,PCT EMERGED,2014-06-15,48,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual
2014,PCT EMERGED,2014-06-22,54,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual
2014,PCT EMERGED,2014-06-29,63,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual
2014,PCT EMERGED,2014-07-06,75,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual
2014,PCT EMERGED,2014-07-13,84,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual
2014,PCT EMERGED,2014-07-20,92,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual
2014,PCT EMERGED,2014-07-27,96,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual
2014,PCT HARVESTED,2014-09-21,0,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual
2014,PCT HARVESTED,2014-09-28,1,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual
2014,PCT HARVESTED,2014-10-05,5,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual
2014,PCT HARVESTED,2014-10-12,8,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual
2014,PCT HARVESTED,2014-10-19,16,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual
2014,PCT HARVESTED,2014-10-26,33,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual
2014,PCT HARVESTED,2014-11-02,44,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual
2014,PCT HARVESTED,2014-11-09,56,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual
2014,PCT HARVESTED,2014-11-16,72,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual
2014,PCT HARVESTED,2014-11-23,82,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual
2014,PCT PLANTED,2014-05-04,2,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual
2014,PCT PLANTED,2014-05-11,10,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual
2014,PCT PLANTED,2014-05-18,16,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual
2014,PCT PLANTED,2014-05-25,26,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual
2014,PCT PLANTED,2014-06-01,39,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual
2014,PCT PLANTED,2014-06-08,51,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual
2014,PCT PLANTED,2014-06-15,56,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual
2014,PCT PLANTED,2014-06-22,64,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual
2014,PCT PLANTED,2014-06-29,76,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual
2014,PCT PLANTED,2014-07-06,88,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual
2014,PCT PLANTED,2014-07-13,94,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual
2014,PCT PLANTED,2014-07-20,97,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual
2014,PCT SETTING PODS,2014-07-13,4,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",Actual
2014,PCT SETTING PODS,2014-07-20,5,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",Actual
2014,PCT SETTING PODS,2014-07-27,16,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",Actual
2014,PCT SETTING PODS,2014-08-03,21,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",Actual
2014,PCT SETTING PODS,2014-08-10,29,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",Actual
2014,PCT SETTING PODS,2014-08-17,42,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",Actual
2014,PCT SETTING PODS,2014-08-24,52,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",Actual
2014,PCT SETTING PODS,2014-08-31,58,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",Actual
2014,PCT SETTING PODS,2014-09-07,80,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",Actual
2014,PCT SETTING PODS,2014-09-14,87,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",Actual
2014,PCT SETTING PODS,2014-09-21,96,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",Actual
2014,PCT SETTING PODS,2014-09-28,98,"SOYBEANS - PROGRESS, MEASURED IN PCT SETTING PODS",Actual
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",2014-07-06,3,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",Actual
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",2014-07-13,8,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",Actual
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",2014-07-20,19,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",Actual
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",2014-07-27,38,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",Actual
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",2014-08-03,56,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",Actual
2014,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",2014-08-10,71,"SOYBEANS - PROGRESS, 5 YEAR AVG, MEASURED IN PCT BLOOMING",Actual
