Year,CategoryRaw,week,value,short_desc,Type,five_year_avg_value
2014,PCT BLOOMING,2014-07-06,7,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual,3
2014,PCT BLOOMING,2014-07-13,16,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual,8
2014,PCT BLOOMING,2014-07-20,23,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual,19
2014,PCT BLOOMING,2014-07-27,40,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual,38
2014,PCT BLOOMING,2014-08-03,45,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual,56
2014,PCT BLOOMING,2014-08-10,55,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual,71
2014,PCT BLOOMING,2014-08-17,71,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual,81
2014,PCT BLOOMING,2014-08-24,80,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual,90
2014,PCT BLOOMING,2014-08-31,82,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual,95
2014,PCT BLOOMING,2014-09-07,90,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual,99
2014,PCT BLOOMING,2014-09-14,97,"SOYBEANS - PROGRESS, MEASURED IN PCT BLOOMING",Actual,100
2014,PCT DROPPING LEAVES,2014-08-31,0,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual,2
2014,PCT DROPPING LEAVES,2014-09-07,4,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual,7
2014,PCT DROPPING LEAVES,2014-09-14,8,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual,14
2014,PCT DROPPING LEAVES,2014-09-21,18,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual,27
2014,PCT DROPPING LEAVES,2014-09-28,39,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual,41
2014,PCT DROPPING LEAVES,2014-10-05,46,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual,56
2014,PCT DROPPING LEAVES,2014-10-12,65,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual,70
2014,PCT DROPPING LEAVES,2014-10-19,83,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual,82
2014,PCT DROPPING LEAVES,2014-10-26,93,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual,92
2014,PCT DROPPING LEAVES,2014-11-02,95,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual,97
2014,PCT DROPPING LEAVES,2014-11-09,98,"SOYBEANS - PROGRESS, MEASURED IN PCT DROPPING LEAVES",Actual,99
2014,PCT EMERGED,2014-06-08,36,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual,40
2014,PCT EMERGED,2014-06-15,48,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual,51
2014,PCT EMERGED,2014-06-22,54,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual,60
2014,PCT EMERGED,2014-06-29,63,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual,73
2014,PCT EMERGED,2014-07-06,75,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual,81
2014,PCT EMERGED,2014-07-13,84,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual,90
2014,PCT EMERGED,2014-07-20,92,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual,96
2014,PCT EMERGED,2014-07-27,96,"SOYBEANS - PROGRESS, MEASURED IN PCT EMERGED",Actual,99
2014,PCT HARVESTED,2014-09-21,0,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual,0
2014,PCT HARVESTED,2014-09-28,1,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual,2
2014,PCT HARVESTED,2014-10-05,5,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual,5
2014,PCT HARVESTED,2014-10-12,8,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual,9
2014,PCT HARVESTED,2014-10-19,16,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual,17
2014,PCT HARVESTED,2014-10-26,33,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual,29
2014,PCT HARVESTED,2014-11-02,44,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual,41
2014,PCT HARVESTED,2014-11-09,56,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual,54
2014,PCT HARVESTED,2014-11-16,72,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual,66
2014,PCT HARVESTED,2014-11-23,82,"SOYBEANS - PROGRESS, MEASURED IN PCT HARVESTED",Actual,77
2014,PCT PLANTED,2014-05-04,2,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual,7
2014,PCT PLANTED,2014-05-11,10,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual,15
2014,PCT PLANTED,2014-05-18,16,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual,24
2014,PCT PLANTED,2014-05-25,26,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual,33
2014,PCT PLANTED,2014-06-01,39,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual,44
2014,PCT PLANTED,2014-06-08,51,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual,54
2014,PCT PLANTED,2014-06-15,56,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual,64
2014,PCT PLANTED,2014-06-22,64,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual,74
2014,PCT PLANTED,2014-06-29,76,"SOYBEANS - PROGRESS, MEASURED IN PCT PLANTED",Actual,85
